geo_id,City,Cases,Population,Rate
610345,Campbell,10169,42470,23944
617610,Cupertino,8742,60614,14422
629504,Gilroy,20962,55525,37752
643280,Los Altos,5000,30588,16346
643294,Los Altos Hills,1259,8517,14782
644112,Los Gatos,6946,30922,22463
647766,Milpitas,17656,77457,22795
648956,Monte Sereno,343,3492,9822
649278,Morgan Hill,13880,43876,31635
649670,Mountain View,14158,80993,17481
0,Other/Unknown,22271,0,
655282,Palo Alto,10919,67019,16292
668000,San Jose,289928,1026658,28240
669084,Santa Clara,27905,126209,22110
670280,Saratoga,4653,30886,15065
677000,Sunnyvale,27669,152323,18165
