Date,Total_cases
1/1/2022,177144
1/2/2022,179639
1/3/2022,185627
1/4/2022,192064
1/5/2022,198877
1/6/2022,205242
1/7/2022,210546
1/8/2022,213864
1/9/2022,216947
1/10/2022,223163
1/11/2022,229245
1/12/2022,235092
1/13/2022,240219
1/14/2022,244877
1/15/2022,247353
1/16/2022,249418
1/17/2022,253289
1/18/2022,258062
1/19/2022,262396
1/20/2022,266510
1/21/2022,269964
1/22/2022,271694
1/23/2022,273306
1/24/2022,276947
1/25/2022,280001
1/26/2022,282815
1/27/2022,285238
1/28/2022,287523
1/29/2022,288793
1/30/2022,289758
1/31/2022,291955
2/1/2022,293635
2/2/2022,295280
2/3/2022,296566
2/4/2022,297796
2/5/2022,298411
2/6/2022,299015
2/7/2022,300209
2/8/2022,301180
2/9/2022,302163
2/10/2022,302940
2/11/2022,303650
2/12/2022,304113
2/13/2022,304455
2/14/2022,305117
2/15/2022,305674
2/16/2022,306222
2/17/2022,306613
2/18/2022,306992
2/19/2022,307231
2/20/2022,307418
2/21/2022,307698
2/22/2022,308089
2/23/2022,308361
2/24/2022,308636
2/25/2022,308908
2/26/2022,309082
2/27/2022,309215
2/28/2022,309524
3/1/2022,309803
3/2/2022,310044
3/3/2022,310296
3/4/2022,310484
3/5/2022,310614
3/6/2022,310718
3/7/2022,310971
3/8/2022,311186
3/9/2022,311426
3/10/2022,311586
3/11/2022,311772
3/12/2022,311907
3/13/2022,311983
3/14/2022,312175
3/15/2022,312355
3/16/2022,312538
3/17/2022,312715
3/18/2022,312861
3/19/2022,312956
3/20/2022,313052
3/21/2022,313232
3/22/2022,313472
3/23/2022,313642
3/24/2022,313831
3/25/2022,313980
3/26/2022,314120
3/27/2022,314261
3/28/2022,314468
3/29/2022,314713
3/30/2022,314971
3/31/2022,315171
