Date,Total_cases
1/1/2022,"177,144"
1/2/2022,"179,639"
1/3/2022,"185,627"
1/4/2022,"192,064"
1/5/2022,"198,877"
1/6/2022,"205,242"
1/7/2022,"210,546"
1/8/2022,"213,864"
1/9/2022,"216,947"
1/10/2022,"223,163"
1/11/2022,"229,245"
1/12/2022,"235,092"
1/13/2022,"240,219"
1/14/2022,"244,877"
1/15/2022,"247,353"
1/16/2022,"249,418"
1/17/2022,"253,289"
1/18/2022,"258,062"
1/19/2022,"262,396"
1/20/2022,"266,510"
1/21/2022,"269,964"
1/22/2022,"271,694"
1/23/2022,"273,306"
1/24/2022,"276,947"
1/25/2022,"280,001"
1/26/2022,"282,815"
1/27/2022,"285,238"
1/28/2022,"287,523"
1/29/2022,"288,793"
1/30/2022,"289,758"
1/31/2022,"291,955"
2/1/2022,"293,635"
2/2/2022,"295,280"
2/3/2022,"296,566"
2/4/2022,"297,796"
2/5/2022,"298,411"
2/6/2022,"299,015"
2/7/2022,"300,209"
2/8/2022,"301,180"
2/9/2022,"302,163"
2/10/2022,"302,940"
2/11/2022,"303,650"
2/12/2022,"304,113"
2/13/2022,"304,455"
2/14/2022,"305,117"
2/15/2022,"305,674"
2/16/2022,"306,222"
2/17/2022,"306,613"
2/18/2022,"306,992"
2/19/2022,"307,231"
2/20/2022,"307,418"
2/21/2022,"307,698"
2/22/2022,"308,089"
2/23/2022,"308,361"
2/24/2022,"308,636"
2/25/2022,"308,908"
2/26/2022,"309,082"
2/27/2022,"309,215"
2/28/2022,"309,524"
3/1/2022,"309,803"
3/2/2022,"310,044"
3/3/2022,"310,296"
3/4/2022,"310,484"
3/5/2022,"310,614"
3/6/2022,"310,718"
3/7/2022,"310,971"
3/8/2022,"311,186"
3/9/2022,"311,426"
3/10/2022,"311,586"
3/11/2022,"311,772"
3/12/2022,"311,907"
3/13/2022,"311,983"
3/14/2022,"312,175"
3/15/2022,"312,355"
3/16/2022,"312,538"
3/17/2022,"312,715"
3/18/2022,"312,861"
3/19/2022,"312,956"
3/20/2022,"313,052"
3/21/2022,"313,232"
3/22/2022,"313,472"
3/23/2022,"313,642"
3/24/2022,"313,831"
3/25/2022,"313,980"
3/26/2022,"314,120"
3/27/2022,"314,261"
3/28/2022,"314,468"
3/29/2022,"314,713"
3/30/2022,"314,971"
3/31/2022,"315,171"
4/1/2022,"315,370"
4/2/2022,"315,497"
4/3/2022,"315,640"
4/4/2022,"315,937"
4/5/2022,"316,198"
4/6/2022,"316,477"
4/7/2022,"316,698"
4/8/2022,"316,920"
4/9/2022,"317,071"
4/10/2022,"317,235"
4/11/2022,"317,515"
4/12/2022,"317,865"
4/13/2022,"318,157"
4/14/2022,"318,427"
4/15/2022,"318,732"
4/16/2022,"318,993"
4/17/2022,"319,191"
4/18/2022,"319,640"
4/19/2022,"320,085"
4/20/2022,"320,508"
4/21/2022,"320,923"
4/22/2022,"321,385"
4/23/2022,"321,689"
4/24/2022,"322,025"
4/25/2022,"322,714"
4/26/2022,"323,351"
4/27/2022,"323,931"
4/28/2022,"324,472"
4/29/2022,"325,032"
4/30/2022,"325,477"
5/1/2022,"325,867"
5/2/2022,"326,757"
5/3/2022,"327,689"
5/4/2022,"328,542"
5/5/2022,"329,357"
5/6/2022,"330,137"
5/7/2022,"330,694"
5/8/2022,"331,165"
5/9/2022,"332,196"
5/10/2022,"333,399"
5/11/2022,"334,458"
5/12/2022,"335,498"
5/13/2022,"336,450"
5/14/2022,"337,160"
5/15/2022,"337,894"
5/16/2022,"339,280"
5/17/2022,"340,622"
5/18/2022,"341,877"
5/19/2022,"343,145"
5/20/2022,"344,247"
5/21/2022,"344,977"
5/22/2022,"345,724"
5/23/2022,"347,141"
5/24/2022,"348,563"
5/25/2022,"349,940"
5/26/2022,"351,099"
5/27/2022,"352,140"
5/28/2022,"352,858"
5/29/2022,"353,568"
5/30/2022,"354,275"
5/31/2022,"355,922"
6/1/2022,"357,359"
6/2/2022,"358,567"
6/3/2022,"359,705"
6/4/2022,"360,568"
6/5/2022,"361,342"
6/6/2022,"362,776"
6/7/2022,"364,040"
6/8/2022,"365,253"
6/9/2022,"366,329"
6/10/2022,"367,390"
6/11/2022,"368,092"
6/12/2022,"368,743"
6/13/2022,"369,850"
6/14/2022,"370,971"
6/15/2022,"372,096"
6/16/2022,"373,077"
6/17/2022,"374,047"
6/18/2022,"374,807"
6/19/2022,"375,470"
6/20/2022,"376,618"
6/21/2022,"377,890"
6/22/2022,"379,078"
6/23/2022,"380,203"
6/24/2022,"381,244"
6/25/2022,"382,037"
6/26/2022,"382,767"
6/27/2022,"384,095"
6/28/2022,"385,613"
6/29/2022,"386,860"
6/30/2022,"387,935"
