,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,spid,rating,COMMEQTA,LLPLOANS,COSTTOINCOME,ROE,LIQASSTA,SIZE,Total Rating,risk,Recommendation
0,0,0,0,0,106123,1,0.088714,0.003164,0.770227,0.053153,0.074674,19.1963,0.16005855,medium,CONDITIONAL APPROVED
1,1,1,1,1,127999,1,0.024999,0.001708,0.22883,0.113123,0.789314,18.2826,0.6138520999999999,low,APPROVED
2,2,2,2,2,129587,1,0.069544,0.000581,0.610047,0.110693,0.327376,17.9989,0.34865755,low,APPROVED
3,3,3,3,3,103135,2,0.018007,0.0,0.44924,0.22665,0.451114,17.0716,0.4815439,low,APPROVED
4,4,4,4,4,360720,2,0.099826,-0.001657,0.72861,0.10952,0.023865,15.5385,0.16837145,medium,CONDITIONAL APPROVED
5,5,5,5,5,329924,2,0.032874,0.001063,0.52535,0.0487,0.350818,17.8627,0.3016451,low,APPROVED
6,6,6,6,6,371409,3,0.06507,0.012248,0.40701,0.144573,0.055811,17.705,0.18508155,medium,CONDITIONAL APPROVED
7,7,7,7,7,384585,3,0.042875,0.002119,0.466987,0.182763,0.150081,17.428,0.266198,low,APPROVED
8,8,8,8,8,108740,3,0.059486,0.001607,0.65379,0.18176,0.485119,17.5777,0.49920395,low,APPROVED
9,9,9,9,9,101704,3,0.077646,0.012294,0.567153,0.13459,0.050267,20.0548,0.18753199999999998,medium,CONDITIONAL APPROVED
10,10,10,10,10,101433,4,0.060039,0.018689,0.759563,-0.014137,0.218613,18.6818,0.19606520000000002,medium,CONDITIONAL APPROVED
11,11,11,11,11,102214,4,0.08204,0.0,0.74177,0.14961,0.259663,18.4156,0.34341245,low,APPROVED
12,12,12,12,12,115829,4,0.26787,0.071908,0.348493,0.115477,0.051782,18.5362,0.24625565,low,APPROVED
13,13,13,13,13,109822,4,0.040289,-0.000186,0.50281,-0.06052,0.521805,15.4073,0.33804674999999995,low,APPROVED
14,14,14,14,14,108426,4,0.050855,0.001365,0.789173,0.033923,0.095974,16.4034,0.14606635,medium,CONDITIONAL APPROVED
15,15,15,15,15,100830,4,0.103902,0.006338,0.615247,0.056857,0.053522,17.7835,0.14754615,medium,CONDITIONAL APPROVED
16,16,16,16,16,100225,4,0.140438,0.001425,0.69168,0.059375,0.346062,18.8353,0.3574045,low,APPROVED
17,17,17,17,17,119872,4,0.028459,0.018826,0.511103,0.119113,0.302016,21.1939,0.31851085,low,APPROVED
18,18,18,18,18,363553,4,0.029463,0.009445,0.543417,0.205523,0.272936,19.995,0.36117505000000005,low,APPROVED
19,19,19,19,19,347072,4,0.042646,0.000107,0.523483,0.189513,0.137896,19.8069,0.26553475,low,APPROVED
20,20,20,20,20,101701,4,0.063741,0.001591,0.67445,0.16474,0.399721,17.7271,0.43451465,low,APPROVED
21,21,21,21,21,120079,4,0.056489,0.003894,0.524997,0.151923,0.12682,19.2896,0.23801394999999997,low,APPROVED
22,22,22,22,22,364609,4,0.13508,0.001086,0.46141,0.004437,0.235544,18.7979,0.2334206,low,APPROVED
23,23,23,23,23,100351,4,0.026187,0.00572,0.682977,0.091863,0.610125,21.0835,0.506081,low,APPROVED
24,24,24,24,24,114871,5,0.056114,0.006593,0.507713,0.162533,0.085634,18.8775,0.21792575000000003,low,APPROVED
25,25,25,25,25,115960,5,0.037925,0.000883,0.583537,0.08896,0.01931,19.1079,0.11925865,high,REJECT
26,26,26,26,26,101589,5,0.085219,0.015017,0.521223,0.103153,0.196748,20.8977,0.26174375,low,APPROVED
27,27,27,27,27,369791,5,0.042027,0.000288,0.234327,0.128223,0.467304,19.1373,0.42205965,low,APPROVED
28,28,28,28,28,100850,5,0.101244,0.002889,0.601425,0.10445,0.092925,20.0966,0.20437399999999997,low,APPROVED
29,29,29,29,29,307760,5,0.015789,0.002647,0.97564,0.044513,0.408713,19.8716,0.35218485,low,APPROVED
30,30,30,30,30,309105,5,0.119363,0.000246,0.555287,0.088043,0.279276,16.3133,0.31869365000000005,low,APPROVED
31,31,31,31,31,354166,5,0.03142,0.01065,0.55444,-0.014737,0.089777,20.5409,0.08939415,high,REJECT
32,32,32,32,32,110658,5,0.070414,0.011491,0.772525,0.0743,0.231875,18.8112,0.2706697,low,APPROVED
